presc_no,plan_id,prod_id,presc_last_nm,presc_mid_nm,presc_first_nm,presc_street_addr,presc_city,presc_st,Zip,data_dt,week_bckt_1,week_bckt_2,week_bckt_3,week_bckt_4,week_bckt_5,week_bckt_6,week_bckt_7,week_bckt_8,week_bckt_9,week_bckt_10,week_bckt_11,week_bckt_12,week_bckt_13,week_bckt_14,week_bckt_15,week_bckt_16,week_bckt_17,week_bckt_18,week_bckt_19,week_bckt_20,week_bckt_21,week_bckt_22,week_bckt_23,week_bckt_24,week_bckt_25,week_bckt_26,week_bckt_27,week_bckt_28,week_bckt_29,week_bckt_30,week_bckt_31,week_bckt_32,week_bckt_33,week_bckt_34,week_bckt_35,week_bckt_36,week_bckt_37,week_bckt_38,week_bckt_39,week_bckt_40,week_bckt_41,week_bckt_42,week_bckt_43,week_bckt_44,week_bckt_45,week_bckt_46,week_bckt_47,week_bckt_48,week_bckt_49,week_bckt_50,week_bckt_51,week_bckt_52,week_bckt_53,week_bckt_54,week_bckt_55,week_bckt_56,week_bckt_57,week_bckt_58,week_bckt_59,week_bckt_60,week_bckt_61,week_bckt_62,week_bckt_63,week_bckt_64,week_bckt_65,week_bckt_66,week_bckt_67,week_bckt_68,week_bckt_69,week_bckt_70,week_bckt_71,week_bckt_72,week_bckt_73,week_bckt_74,week_bckt_75,week_bckt_76,week_bckt_77,week_bckt_78,week_bckt_79,week_bckt_80,week_bckt_81,week_bckt_82,week_bckt_83,week_bckt_84,week_bckt_85,week_bckt_86,week_bckt_87,week_bckt_88,week_bckt_89,week_bckt_90,week_bckt_91,week_bckt_92,week_bckt_93,week_bckt_94,week_bckt_95,week_bckt_96,week_bckt_97,week_bckt_98,week_bckt_99,week_bckt_100,week_bckt_101,week_bckt_102,week_bckt_103,week_bckt_104
PRESC7,PLAN3,PROD103,Katelyn, ,Tran,353 Conway Ways Apt. 298,Port Jamesmouth,Tennessee,08360,3/31/18,6,10,7,8,8,1,5,1,8,6,6,2,7,5,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC7,PLAN1,PROD103,Katelyn, ,Tran,353 Conway Ways Apt. 298,Port Jamesmouth,Tennessee,10294,3/31/18,4,3,7,6,5,7,1,3,9,5,2,9,4,9,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC7,PLAN1,PROD103,Katelyn, ,Tran,353 Conway Ways Apt. 298,Port Jamesmouth,Tennessee,15772,3/31/18,8,6,5,8,4,10,1,6,3,7,1,5,10,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC7,PLAN1,PROD102,Katelyn, ,Tran,353 Conway Ways Apt. 298,Port Jamesmouth,Tennessee,39569,3/31/18,7,6,1,9,5,6,4,3,4,2,5,5,4,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC8,PLAN1,PROD101,Christopher,Adam,Terry,1557 Sonya Knoll Apt. 560,New Rhonda,Georgia,83622,3/31/18,7,1,4,2,10,10,2,1,8,10,5,7,9,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC9,PLAN2,PROD101,Rachel,Isaac,Trujillo,56631 Powers Skyway,Jenniferport,New Jersey,90473,3/31/18,3,2,6,9,10,1,8,4,9,2,9,2,1,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC10,PLAN3,PROD103,Leslie,Jamie,Johnson,270 Peterson Common Apt. 547,Jameshaven,Maryland,78820,3/31/18,5,10,4,2,7,1,4,5,5,8,9,6,9,4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC11,PLAN3,PROD102,Timothy,Wesley,Shelton,60690 Sheila Springs,Lake Dannyton,Maryland,56716,3/31/18,7,8,7,8,7,5,10,3,7,10,8,4,4,10,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0
PRESC12,PLAN3,PROD103,Cynthia,Joseph,Sanchez,1042 Megan Inlet,Barnesshire,Georgia,21007,3/31/18,2,10,5,8,2,10,10,2,10,1,4,9,8,3,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC12,PLAN2,PROD102,Cynthia,Joseph,Sanchez,1042 Megan Inlet,Barnesshire,Georgia,10594,3/31/18,10,7,6,2,6,2,9,9,8,8,10,9,3,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.209,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC12,PLAN1,PROD101,Cynthia,Joseph,Sanchez,1042 Megan Inlet,Barnesshire,Georgia,94346,3/31/18,10,4,1,8,7,5,9,5,1,8,7,6,4,8,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC13,PLAN2,PROD103,Dean,Robin,Elliott,3175 Moreno Cove,New Kimberlystad,Mississippi,99639,3/31/18,3,2,1,2,6,7,6,8,7,2,2,5,6,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC13,PLAN1,PROD101,Dean,Robin,Elliott,3175 Moreno Cove,New Kimberlystad,Mississippi,25965,3/31/18,7,5,8,9,5,9,8,7,2,10,7,6,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC14,PLAN2,PROD101,Courtney, ,Hale,438 Brett Mews Suite 229,South Wesleytown,Michigan,78371,3/31/18,6,2,7,9,6,8,4,7,3,7,6,9,4,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC15,PLAN3,PROD103,Dwayne,Matthew,Lewis,966 Smith Village,Sharonstad,New Jersey,88867,3/31/18,2,8,2,8,8,1,10,10,3,5,8,9,7,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC15,PLAN1,PROD102,Dwayne,Matthew,Lewis,966 Smith Village,Sharonstad,New Jersey,81907,3/31/18,6,8,10,9,2,8,5,9,3,6,8,4,8,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.141,0,0,1.154,1.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC16,PLAN2,PROD102,Brandon,Tamara,Ray,711 David Prairie Suite 520,New Erin,Georgia,42966,3/31/18,5,1,9,7,10,10,2,8,8,2,2,5,1,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.045,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC16,PLAN1,PROD103,Brandon,Tamara,Ray,711 David Prairie Suite 520,New Erin,Georgia,41072,3/31/18,2,4,1,8,7,4,8,7,10,6,9,1,8,3,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PRESC16,PLAN1,PROD101,Brandon,Tamara,Ray,711 David Prairie Suite 520,New Erin,Georgia,61301,3/31/18,7,3,3,4,7,7,6,9,5,3,2,10,9,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC17,PLAN3,PROD101,Derek, ,Mcknight,5174 Monique Crest Apt. 163,Pereztown,Texas,73297,3/31/18,3,5,1,9,2,6,2,9,7,3,6,7,2,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.208,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PRESC17,PLAN1,PROD102,Derek, ,Mcknight,5174 Monique Crest Apt. 163,Pereztown,Texas,72733,3/31/18,6,1,7,10,8,7,1,5,10,6,3,6,1,6,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.199,0,0,0,0,0,0,0,0,0,0,1.082,0,0,0,0,0
PRESC17,PLAN1,PROD103,Derek, ,Mcknight,5174 Monique Crest Apt. 163,Pereztown,Texas,01038,3/31/18,4,6,5,2,4,3,4,6,3,3,5,5,10,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.003,0,0,0,0,0,0
PRESC17,PLAN1,PROD101,Derek, ,Mcknight,5174 Monique Crest Apt. 163,Pereztown,Texas,47072,3/31/18,10,4,4,7,2,10,4,10,5,10,3,4,3,9,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PRESC18,PLAN1,PROD103,Misty,Theresa,Evans,00468 Garza Orchard Suite 179,Barryfurt,West Virginia,42157,3/31/18,7,7,8,6,6,7,4,5,8,6,3,1,6,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC18,PLAN1,PROD102,Misty,Theresa,Evans,00468 Garza Orchard Suite 179,Barryfurt,West Virginia,15899,3/31/18,1,6,6,10,6,9,2,8,8,8,1,8,10,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC19,PLAN3,PROD101,Laura,Garrett,Beck,58369 Danielle Extensions Suite 497,Smithmouth,Vermont,20513,3/31/18,1,10,1,4,9,2,2,7,7,2,7,7,6,5,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.079,0,0,0,0,0
PRESC20,PLAN1,PROD101,Megan,Kevin,Randolph,12166 Ronald Hill Suite 062,West Rachel,Pennsylvania,24865,3/31/18,1,10,3,4,10,10,2,7,6,9,10,2,5,1,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC21,PLAN2,PROD102,Hayley, ,Armstrong,1967 Hubbard Curve Apt. 346,Kruegermouth,Alabama,01702,3/31/18,2,8,8,9,4,1,2,2,4,6,9,10,7,2,7,10,0,1.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC21,PLAN1,PROD101,Hayley, ,Armstrong,1967 Hubbard Curve Apt. 346,Kruegermouth,Alabama,75275,3/31/18,5,5,9,7,8,4,9,1,8,7,2,10,3,6,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC22,PLAN3,PROD102,Sarah,Susan,Sloan,515 Alicia Club,West Matthewport,Connecticut,46636,3/31/18,6,3,10,4,7,2,4,8,2,4,3,3,1,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PRESC22,PLAN1,PROD102,Sarah,Susan,Sloan,515 Alicia Club,West Matthewport,Connecticut,79292,3/31/18,10,5,5,8,4,1,9,8,1,2,6,4,9,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC22,PLAN1,PROD102,Sarah,Susan,Sloan,515 Alicia Club,West Matthewport,Connecticut,65250,3/31/18,2,6,4,9,9,8,3,5,5,1,10,3,8,10,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC22,PLAN3,PROD101,Sarah,Susan,Sloan,515 Alicia Club,West Matthewport,Connecticut,62668,3/31/18,10,9,9,6,4,6,1,4,1,9,3,10,5,5,6,10,0,0,0,0,0,0,0,0,0,0,0,0,1.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC23,PLAN2,PROD101,Abigail,Nicole,Gardner,248 Parrish Village Apt. 763,North Scottburgh,Georgia,28715,3/31/18,8,6,9,2,4,9,5,7,6,2,3,8,3,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
